Box,Treatment
1,Control at 90 mM salt solution
2,Strandaster (PE) at 60 mM salt solution
3,Salico. (PE) 15 g/L at 60 mM salt solution
4,Salico. (PE) 30 g/L at 90 mM salt solution
5,Salico. (PE) 15 g/L at 60 mM salt solution
6,Salico. (PE) 30 g/L at 60 mM salt solution
7,Control at 60 mM salt solution
8,Control at 90 mM salt solution
9,Salico. (PE) 30 g/L at 90 mM salt solution
10,Control – no salt solution
11,Salico. (PE) 15 g/L at 90 mM salt solution
12,Strandaster (PE) at 60 mM salt solution
13,Strandaster (PE) at 90 mM salt solution
14,Salico. (PE) 30 g/L at 60 mM salt solution
15,Control – no salt solution
16,Strandaster (PE) at 60 mM salt solution
17,Salico. (PE) 30 g/L at 90 mM salt solution
18,Control at 60 mM salt solution
19,Strandaster (PE) at 90 mM salt solution
20,Salico. (PE) 15 g/L at 60 mM salt solution
21,Control at 90 mM salt solution
22,Salico. (PE) 30 g/L at 60 mM salt solution
23,Control at 60 mM salt solution
24,Salico. (PE) 15 g/L at 90 mM salt solution
25,Strandaster (PE) at 90 mM salt solution
26,Salico. (PE) 15 g/L at 90 mM salt solution
27,Control – no salt solution
